id;area;nomor;alamat;koordinat
28;61.71.01.1002;28;Jln Imam Bonjol Gg Peniti II;-0.0428417, 109.3508548
29;61.71.01.1002;29;Jln Imam Bonjol GG Kuantan Cafe Tepian Kapuas;-0.0415834, 109.3534643
30;61.71.01.1003;1;Jl Siam (depan RS Kharitas Bakti);-0.030650, 109.340370
31;61.71.01.1003;2;Gg Gajahmada 1 No 23;-0.029649, 109.340328
32;61.71.01.1003;3;Jl H Agus Salim Gg Satu;-0.029661, 109.339959
33;61.71.01.1003;4;Gg Mandor;-0.028268, 109.342429
34;61.71.01.1003;5;Jl Siam Dalam;-0.0286064, 109.3413918
35;61.71.01.1003;6;Jl Siam (Yayasan Liga Luhur/ Yayasan Layarda);-0.029616, 109.342724
36;61.71.01.1003;7;Gg Irama;-0.030825, 109.344111
37;61.71.01.1003;8;Jl Dr Setia Budi;-0.031924, 109.343383
38;61.71.01.1003;9;Gg Kelantan 2;-0.032215, 109.341685
39;61.71.01.1003;10;Gg Kelantan 4;-0.0307743, 109.3416110
40;61.71.01.1003;11;Gg Kelantan 1;-0.031510, 109.341979
41;61.71.01.1003;12;Gg Gajahmada 5;-0.031166, 109.340776
42;61.71.01.1003;13;Gg Gajahmada 9;-0.031831, 109.340830
43;61.71.01.1003;14;Jl Gajahmada XI No 12AB;-0.031841, 109.340962
44;61.71.01.1003;15;Jl Setia Budi;-0.032004, 109.343329
45;61.71.01.1003;16;Jl Setia Budi;-0.032338, 109.342315
46;61.71.01.1003;17;Gg H Abbas 2;-0.032762, 109.343331
47;61.71.01.1003;18;Jl Setia Budi Dalam (Dekat Rumah RT 004/009);-0.032370, 109.343641
48;61.71.01.1003;19;Jl Ketapang;-0.033390, 109.344103
49;61.71.01.1003;20;Jl Ketapang (Halaman Rumah Pak RT 004);-0.034266, 109.342238
50;61.71.01.1003;21;Jl Tanjungpura (Depan Optik 88);-0.032940, 109.345633
51;61.71.01.1003;22;Jl Tanjungpura Gg 17 Indah;-0.033629, 109.345485
52;61.71.01.1003;23;Jl Tanjungpura Gg Baiduri 1;-0.033940, 109.345701
53;61.71.01.1003;24;Gg Ketapang Dalam;-0.033698, 109.344142
54;61.71.01.1003;25;Gg Ketapang Tujuh;-0.034248, 109.343211
55;61.71.01.1003;26;Gg Ketapang Dalam No 2;-0.33280, 109.344705
56;61.71.01.1003;27;Gg Gajahmada 19;-0.35488, 109.342927
57;61.71.01.1003;28;Gg Kedah Dalam;-0.035245, 109.345156
58;61.71.01.1003;29;Jl Terminal Gajahmada No 12AA;-0.036295, 109.343593
59;61.71.01.1003;30;Jl Kedah (YPKK);-0.034837, 109.345231
60;61.71.01.1003;31;Jl Hijas No 35;-0.036064, 109.345271
61;61.71.01.1003;32;Jl Tanjungpura Gg Baiduri 2;-0.034323, 109.345657
62;61.71.01.1003;33;Jl Tanjungpura Gg Kedah;-0.035051, 109.344736
63;61.71.01.1003;34;Jl Tanjungpura Gg Elektro;-0.035041, 109.345756
64;61.71.01.1003;35;Gg Suez No 81 (Halaman Rumah);-0.037044, 109.345738
65;61.71.01.1003;36;Jl Hijas;-0.036594, 109.345066
66;61.71.01.1003;37;Gg Suez No 6-7;-0.036673, 109.345692
67;61.71.01.1003;38;Gg Suez;-0.037511, 109.345940
68;61.71.01.1003;39;SDN 08 (Jl Suez Permai);-0.038039, 109.344255
69;61.71.01.1003;40;SDN 08 (Jl Hijas Gg Suez);-0.37996, 109.344168
70;61.71.01.1003;41;SDN 08 (Jl Hijas Dalam);-0.03802, 109.344318
71;61.71.01.1003;42;Jl Imam Bonjol Gg Pagar Alam;-0.038186, 109.346233
72;61.71.01.1003;43;Gg Pagar Alam;-0.038659, 109.345490
73;61.71.01.1003;44;Jl Masjid At Taufiq (Samping Masjid At Taufiq);-0.039670, 109.346173
74;61.71.01.1003;45;Jl Pahlawan Gg Mentok;-0.040276, 109.347713
75;61.71.01.1003;46;Jl Pahlawan Gg Sakura;-0.041326, 109.348391
76;61.71.01.1003;47;Jl Imam Bonjol (Depan PDAM, Samping Gg Ahsan);-0.043382, 109.351345
77;61.71.01.1003;48;Jl Imam Bonjol (Halaman Cuci Mobil Auto Wash 88, samping Gg Bahtera);-0.043856, 109.351803
78;61.71.01.1003;49;Jl Tanjung Harapan No 41;-0.046140, 109.350805
79;61.71.01.1003;50;Jl Imam Bonjol Gg Tanjung Harapan No 63;-0.045943, 109.351006
80;61.71.01.1003;51;Jl Veteran Gg Ilham No A9;-0.043675, 109.342722
81;61.71.01.1003;52;Jl Veteran Gg Berkah;-0.045273, 109.342423
82;61.71.01.1003;53;Jl Palapa 2;-0.050239, 109.346025
83;61.71.01.1003;54;Jl Palapa 3;-0.048547, 109.347163
84;61.71.01.1003;55;Jl Untung Surapati;-0.044626, 109.345563
85;61.71.01.1003;56;Jl Untung Surapati;-0.045184, 109.346587
86;61.71.01.1003;57;Jl Budi Karya (Waduk) Mess Sambas;-0.045485, 109.347213
87;61.71.01.1003;58;Jl Budi Karya (Waduk);-0.045522, 109.347269
88;61.71.01.1003;59;Jl Veteran Gg Syukur 1;-0.040966, 109.344385
89;61.71.01.1003;60;Jl Veteran Gg Syukur 2;-0.041336, 109.344176
90;61.71.01.1003;61;Jl Veteran Gg Syukur 3;-0.041517, 109.344041
91;61.71.01.1003;62;Jl Veteran Gg Syukur 4;-0.042035, 109.343781
92;61.71.01.1003;63;Jl Veteran (Lapangan samping gg Syukur 5);-0.042936, 109.343892
93;61.71.01.1003;64;Jl Letjen Suprapto 2;-0.040695, 109.342371
94;61.71.01.1003;65;Jl Suprapto 2 Dalam;-0.040862, 109.32495
95;61.71.01.1003;66;Jl Letjen Suprapto 2 (Pos Kamling RT 004/026);-0.039987, 109.343210
96;61.71.01.1003;67;Jl Suprapto 1;-0.037404, 109.341772
97;61.71.01.1003;68;Jl Dewi Sartika;-0.036187, 109.341187
98;61.71.01.1003;69;Gg Gajahmada 20;-0.035197, 109.341073
99;61.71.01.1003;70;Jl Chairil Anwar No 27A;-0.034773, 109.340003
100;61.71.01.1003;71;Gg Gajahmada 12;-0.033531, 109.340415
101;61.71.01.1003;72;Gg Gajahmada 10 (Yayasan Sungai Jernih);-0.033039, 109.340460
102;61.71.01.1003;73;Jl Gajahmada (Yayasan Marga Surya Makmur);-0.031882, 109.340135
103;61.71.01.1003;74;Gg Gajahmada 6 No 12;-0.031985, 109.339792
104;61.71.01.1003;75;Jl Ismail Marzuki (SD Budi Baik);-0.031224, 109.339043
105;61.71.01.1003;76;Gg Gajahmada 2;-0.030509, 109.338938
106;61.71.01.1003;77;SD Mulia Dharma;-0.032691, 109.336874
107;61.71.01.1003;78;Jl WR Supratman No 3A (Halaman Rumah Pak RT 005);-0.034828, 109.338315
108;61.71.01.1003;79;Jl WR Supratman Gg Waru 5;-0.033281, 109.337078
109;61.71.01.1003;80;Jl Gusti Sulung Lelanang;-0.032930, 109.335377
110;61.71.01.1003;81;Jl DI Panjaitan Gg Nirmala;-0.035785, 109.334171
111;61.71.01.1003;82;Jl DI Panjaitan Dalam;-0.034998, 109.335496
112;61.71.01.1003;83;Jl Jend S Parman (Ruko No 03);-0.035748, 109.336532
113;61.71.01.1003;84;Jl Tendean No 9 (Halaman Rumah Ketua RT 002/033);-0.037093, 109.336649
114;61.71.01.1003;85;Jl Ade Irma Suryani;-0.039361, 109.338439
115;61.71.01.1003;86;Jl WR Supratman (SMAN 3);-0.036578, 109.339773
116;61.71.01.1003;87;Jl Veteran (Aula Gedung Kopri);-0.0451040, 109.337887
117;61.71.01.1004;1;JALAN PURNAMA 1 (BENGKEL MOBIL KREASI MOTOR);-0.04871123048318417, 109.3390039778769
118;61.71.01.1004;2;JALAN SUTOYO (WILAYAH SMP/SMA IMMANUEL);-0.05079231490998742, 109.34097535911175
119;61.71.01.1004;3;JALAN KARYA BARU NO. 2 (WR. JOGJA);-0.050045771168238606, 109.33619795215849
120;61.71.01.1004;4;Gg. Purnama I No.22Kalimantan Barat;-0.05171951655897486, 109.33620549816541
121;61.71.01.1004;5;JALAN PURNAMA 1, GANG PURNAMA III;-0.050302917792062266, 109.3352370368137
122;61.71.01.1004;6;JL. KARYA BARU (POSYANDU KARTINI);-0.053962684641164334, 109.33488473298995
123;61.71.01.1004;7;JL. KARYA BARU (RUMAH PAK RW);-0.05371585039109275, 109.33540800682104
124;61.71.01.1004;8;JL. KOMP. BALI AGUNG I;-0.05530211215894786, 109.33684743942301
125;61.71.01.1004;9;GG. KARYA BARU 5;-0.055701590777022254, 109.33591120552262
126;61.71.01.1004;10;GG. KARYA BARU 6;-0.05626234253211312, 109.33531120420959
127;61.71.01.1004;11;KARYA BARU PERMAI (POSYANDU SRIKANDI);-0.056788390523763235, 109.33232456448758
128;61.71.01.1004;12;GG. KARYA BARU 8;-0.05551434185204088, 109.33347389104985
129;61.71.01.1004;13;GG. KARYA BARU 9;-0.05654699183170622, 109.33309100571381
130;61.71.01.1004;14;PURI KARYA INDAH;-0.05721454052555892, 109.3315057337581
131;61.71.01.1004;15;KOMP. PONDOK PELANGI;-0.05691075584723456, 109.33435096441809
132;61.71.01.1004;16;KOMP. PURNAMA ANGGREK 1;-0.05153970182061167, 109.33475072394394
133;61.71.01.1004;17;KOMP. PURNAMA ANGGREK 2;-0.051835693802573204, 109.33494172994057
134;61.71.01.1004;18;JALAN PURNAMA, GANG PURNAMA ANGGREK 3;-0.05191832337144547, 109.33434057183183
135;61.71.01.1004;19;JALAN PURNAMA, KOMPLEK PURNAMA AGUNG 2;-0.0541821067926258, 109.33177637999961
136;61.71.01.1004;20;JALAN PURNAMA, GANG PURNAMA 9;-0.053454906115719666, 109.330098389246
137;61.71.01.1004;21;JALAN PURNAMA GANG PURNAMA AGUNG 3;-0.054219996365533235, 109.33071730437491
138;61.71.01.1004;22;JALAN PURNAMA 1, GANG PURNAMA JAYA;-0.05463850987373149, 109.33023889644383
139;61.71.01.1004;23;JALAN PURNAMA, KOMPLEK PURNAMA AGUNG 4;-0.05437212337998244, 109.33029620252148
140;61.71.01.1004;24;Komplek Yayasan Pemadam Kebakaran Khatulistiwa;-0.05516165584562632, 109.32781950437492
141;61.71.01.1004;25;HALAMAN Masjid Asmaul Husna;-0.05797356573259841, 109.32871837368528
142;61.71.01.1004;26;JL. PURNAMA AGUNG 7;-0.05929412339829905, 109.32891454618517
143;61.71.01.1004;27;JL. PURNAMA AGUNG 7 BLOK F 12;-0.060635227145152855, 109.32860877435334
144;61.71.01.1004;28;JL. PURNAMA AGUNG 7 MINI MARKET ATIE;-0.060849803741594606, 109.32981308621736
145;61.71.01.1004;29;BANK SAMPAH ROSELLA;-0.058606090614530315, 109.33575561805982
146;61.71.01.1004;30;JL. PURNAMA AGUNG 7 WK AYAH;-0.06194560513448633, 109.32829521599655
147;61.71.01.1004;31;JL. PURNAMA AGUNG 7 WK AYAH SAMPING;-0.062224554702844305, 109.32794116440178
148;61.71.01.1004;32;KOMP. PONDOK AGUNG PERMATA;-0.06334035296146753, 109.32772658767769
149;61.71.01.1004;33;GG. PURNAMA GRIYA PURNAMA;-0.053036625193839206, 109.32806398717666
150;61.71.01.1004;34;GG. PURNAMA GRIYA 1;-0.0610663225533197, 109.32760577183183
151;61.71.01.1004;35;GG. DINASTI 1;-0.06174255223757343, 109.32836780756445
152;61.71.01.1004;36;KOMP. DINASTI INDAH;-0.06252202702325885, 109.32661607186151
153;61.71.01.1004;37;JL. PURNAMA 2 GG. EKAPUTRA;-0.05903486573706705, 109.32425476390075
154;61.71.01.1004;38;POSYANDU MAWAR JL. PARIT DEMANG;-0.06435696756401434, 109.32683530993522
155;61.71.01.1004;39;JL. PARIT DEMANG GG. RUKUN HALAMAN MASJID;-0.062166216696570534, 109.32340152564929
156;61.71.01.1004;40;JALAN PERDANA, GANG SEJAHTERA;-0.05497366753652565, 109.34206017924556
157;61.71.01.1004;41;JALAN PERDANA, KOMPLEK ADI PERDANA;-0.055360962893396336, 109.33997547174047
158;61.71.01.1004;42;JALAN PERDANA, KOMPLEK BALI AGUNG 2 (POSYANDU MEKARSARI);-0.058281165733875734, 109.33870010252149
159;61.71.01.1004;43;JALAN PERDANA, KOMPLEK BALI AGUNG 2 DEPAN MASJID MUHAJIRIN;-0.05778188105321353, 109.33795606152998
160;61.71.01.1004;44;JL. PERDANA KOMPLEK BALI AGUNG 2 K.II;-0.05864540988637133, 109.33825296812498
161;61.71.01.1004;45;JALAN PERDANA, KOMPLEK BALI AGUNG 3;-0.060608057146217656, 109.33556714774252
162;61.71.01.1004;46;JALAN PERDANA, KOMPLEK BALI AGUNG 3;-0.060608057146217656, 109.33556714774252
163;61.71.01.1004;47;JALAN PERDANA, KOMPLEK BALI AGUNG 3;-0.06073232159552994, 109.33561097183185
164;61.71.01.1004;48;JL. PURNAMA II, POSKO DAMKAR PURNAMA;-0.062444196387499935, 109.32246522661615
165;61.71.01.1004;49;JL. PARIT DEMANG;-0.06847724946362992, 109.32840146394352
166;61.71.01.1004;50;JL. PARIT DEMANG DALAM;-0.06546380990991157, 109.32625268058167
167;61.71.01.1004;51;JL. PARIT DEMANG GG. USUKAMANG;-0.0650541792773266, 109.32237998295243
168;61.71.01.1004;52;JL. PURNAMA 2;-0.06241748106963183, 109.32160911364208
169;61.71.01.1004;53;GG. KARYA TANI;-0.058749767547064645, 109.33041622528003
170;61.71.01.1004;54;JL. PURNAMA AGUNG V;-0.05525979455234436, 109.3292430713145
171;61.71.01.1004;55;PONDOK AGUNG RESIDENCE;-0.05616230987842586, 109.3297962601939
172;61.71.01.1004;56;GG. KARYA TANI DALAM;-0.05869612339598545, 109.32997634299565
173;61.71.01.1004;57;KOMP. MEGA PURNAMA;-0.05086520804155232, 109.33390486709031
174;61.71.01.1004;58;KOMP. PERMATA PURNAMA;-0.05346750987020819, 109.33371776894371
175;61.71.01.1004;59;JL. PARIT DEMANG GG. USUKAMANG;-0.06541163063972602, 109.32166385010795
176;61.71.01.1005;1;JL. PROF M YAMIN GG SWAKARYA 1;-0.052343402462617906, 109.31697692358341
177;61.71.01.1005;2;JL. PROF M YAMIN GG SWAKARYA 1;-0.052873289361326556, 109.31778835089523
178;61.71.01.1005;3;JL. PROF M YAMIN GG SWAKARYA 2;-0.05242376325419251, 109.3161432312782
179;61.71.01.1005;4;JL.PROF M YAMIN GG KAPUAS MELAWI/SWAKARYA 3;-0.053330329336179386, 109.31596650703
180;61.71.01.1005;5;JL WONOBARU GG WONODADI 1;-0.056489857381775685, 109.31834554824091
181;61.71.01.1005;6;JL WONOBARU GG WONODADI II;-0.05693711596074312, 109.31915515046934
182;61.71.01.1005;7;JL. WONOBARU GG WONODADI III;-0.057984430183075496, 109.31955659411312
183;61.71.01.1005;8;JL PURNAMA 2 GG PURNAMA BARU;-0.059008559770886225, 109.32206929308222
184;61.71.01.1005;9;JL PURNAMA 2 GG SEPAKAT;-0.060691691776374145, 109.32161153874577
185;61.71.01.1005;10;JL. PURNAMA II GG. NURUL HASANAH;-0.060134010423445516, 109.32005575056874
186;61.71.01.1005;11;JL PURNAMA 2 GG PURNAMA INDAH 1/GG PURNAMA INDAH;-0.060385923808676176, 109.3197953033322
187;61.71.01.1005;12;JL PURNAMA 2 GG PURNAMA INDAH 2;-0.060684805998398136, 109.31939257838808
188;61.71.01.1005;13;JL. PURNAMA II GG. PURNAMA INDAH III;-0.061589649233415866, 109.32020233302921
189;61.71.01.1005;14;JL. PURNAMA II GG. PURNAMA INDAH 4;-0.0606361457372313, 109.31811220778613
190;61.71.01.1005;15;JL PURNAMA 2 GG PURNAMA INDAH 6;-0.06154155842261403, 109.31931361378435
191;61.71.01.1005;16;JL PROF M YAMIN GG SEKADIM;-0.053946437524355594, 109.31632289777647
192;61.71.01.1005;17;JL. PROF M YAMIN GG ATLAS;-0.05419543546016782, 109.31530645309942
193;61.71.01.1005;18;JL PROF M YAMIN GG EKADAYA;-0.05404951508431899, 109.3158564174547
194;61.71.01.1005;19;JL PROF M YAMIN GG KELUARGA BERSAMA;-0.054766262286121206, 109.31542001563183
195;61.71.01.1005;20;JL PROF M YAMIN GG USAHA BARU;-0.055308940287296555, 109.31561971954987
196;61.71.01.1005;21;JL PROF M YAMIN GG TELADAN;-0.05590792879723955, 109.315771818098
197;61.71.01.1005;22;JL PROF M YAMIN GG SELAMAT;-0.05507544291207385, 109.31337246024168
198;61.71.01.1005;23;JL. PROF. M. YAMIN GG. BINA KARYA;-0.05600929428531696, 109.3137077453334
199;61.71.01.1005;24;JL.KESEHATAN GG.BUNTU INDAH DAN KOMP GURU;-0.05468218537755965, 109.31776820282532
200;61.71.01.1005;25;GG SIDOMUKTI GG KESEHATAN DALAM DAN KOMP SEJAHTERA;-0.0557145765489259, 109.31774928864326
201;61.71.01.1005;26;JL SUMBER AGUNG 1;-0.058293046719424445, 109.31607903944642
202;61.71.01.1005;27;JL KESEHATAN GG SUMBER AGUNG 1 JALUR C;-0.05864210056337137, 109.31582205525322
203;61.71.01.1005;28;GG SUMBER AGUNG 2;-0.060201169311334714, 109.31611091104264
204;61.71.01.1005;29;JL NIRBAYA GG SUKA DAMAI;-0.06074912566379806, 109.3148305757096
205;61.71.01.1005;30;JL NIRBAYA GG SUMBER AGUNG DALAM;-0.06000983576215878, 109.31715346691041
206;61.71.01.1005;31;JL. NIRBAYA GG. TATA KOTA;-0.060477574644617345, 109.31731534812832
207;61.71.01.1005;32;JL PROF M YAMIN GG SINAR USAHA DALAM;-0.05622460785411428, 109.31332317328807
208;61.71.01.1005;33;JL PROF M YAMIN GG USAHA BERSAMA;-0.06077659457956984, 109.32302758226515
209;61.71.01.1005;34;JL PROF M YAMIN GG SINAR BERSAMA;-0.05732663789214412, 109.31316590371902
210;61.71.01.1005;35;JL. PROF M. YAMIN GG BUDI YUSWANA;-0.05676707872465572, 109.3114636856799
211;61.71.01.1005;36;JL PROF M YAMIN GG SUMBER HARAPAN;-0.05852425709003589, 109.31295906637168
212;61.71.01.1005;37;JL PROF M YAMIN GG USAHA MAJU;-0.058871551448041536, 109.31169112818564
213;61.71.01.1005;38;JL PURNAMA 2 GG PURNAMA HIJAU JALUR 1;-0.06321101514054292, 109.31906194477354
214;61.71.01.1005;39;JL PURNAMA II KOMP. PURNAMA HIJAU, JALUR 2;-0.06296052581005895, 109.31812215321206
215;61.71.01.1005;40;JL PURNAMA 2 KOMP PURNAMA HIJAU;-0.06327983134832875, 109.31854717453454
216;61.71.01.1005;41;JL PURNAMA 2 GG AL MUKHLISIEN NO 01 A;-0.06460830439600167, 109.31915759532667
217;61.71.01.1005;42;JL PURNAMA 2 GG EKLASIA;-0.06499912034532387, 109.31663683707086
218;61.71.01.1005;43;JL PURNAMA 2 GG PURNAMA SEJAHTERA 1 NO 2;-0.06853550832666033, 109.31578321673436
219;61.71.01.1005;44;JL HARAPAN JAYA GG HARAPAN BARU;-0.06519542497513531, 109.31487864842256
220;61.71.01.1005;45;JL KESEHATAN GG AMANAH/ANTAR KITA;-0.062301070361233765, 109.31332060939478
221;61.71.01.1005;46;JL HARAPAN JAYA GG RINDANG PAPAN;-0.06379401606536163, 109.3154498991824
222;61.71.01.1005;47;JL NIRABAYA GG DAMAI;-0.06695146680516399, 109.30784692259775
223;61.71.01.1005;48;JL NIRABAYA GG MENTARI;-0.06272985706092593, 109.31409374029666
224;61.71.01.1005;49;JL NIRBAYA GG NIRBAYA 4;-0.06011836557910476, 109.31190340379355
225;61.71.01.1005;50;JL NIRBAYA GG NIRBAYA 1 JALUR 1;-0.059284660206184704, 109.30962204198698
226;61.71.01.1005;51;JL HARAPAN JAYA ;-0.061740367833317926, 109.31013761542135
227;61.71.01.1005;52;JL HARAPAN JAYA KOMP RUSUNAWA;-0.06133892482916589, 109.30888412147077
228;61.71.01.1005;53;JL BINA JAYA;-0.06640574248239112, 109.3076634408469
229;61.71.01.1005;54;JL PROF M YAMIN NO. 30 (SAMPING GG TENGAH);-0.060928410556991865, 109.30643992714143
230;61.71.01.1005;55;JL KURNIA GG ILAHI;-0.06453679793273007, 109.30837467306773
231;61.71.01.1005;56;JL KURNIA GG BATAS KOTA;-0.06432353558900018, 109.30529572827922
232;61.71.01.1005;57;JL PROF M YAMIN GG GUNUNG KOTA;-0.0632489815367844, 109.3060901588054
233;61.71.01.1005;58;JL MEGA JAYA;-0.06477093312450603, 109.31142260182753
234;61.71.01.1005;59;JL HARAPAN JAYA GG ASIA JAYA;-0.0654615522494286, 109.31234277598004
235;61.71.01.1005;60;JL HARAPAN JAYA GG MEGA JAYA;-0.06477093312450603, 109.31142260182753
236;61.71.01.1005;61;JL BINA JAYA GG DAMAI 3A;-0.06696085453012007, 109.30783887597059
237;61.71.01.1005;62;JL BINA JAYA KOMP. ALEA INDAH 2;-0.06933317233131185, 109.30985011681305
238;61.71.01.1006;1;ASRAMA KETAPANG;-0.03958333, 109.3346944
239;61.71.01.1006;2;JL. DR. AGUS DJAM;-0.04397222, 109.3338333
240;61.71.01.1006;3;JL. AKCAYA III;-0.04522222, 109.3345278
241;61.71.01.1006;4;SMA SANTO PETRUS;-0.037530, 109.331762
242;61.71.01.1006;5;JL. MALUKU (SMP N 3 PONTIANAK);-0.04213889, 109.3286111
243;61.71.01.1006;6;JL. M. SOHOR TK. IDHATA;-0.043457, 109.330975
244;61.71.01.1006;7;JL. M. SOHOR TK. IDHATA;-0.043457, 109.330975
245;61.71.01.1006;8;JL. M. SOHOR GG. PANCAWARNA;-0.04530556, 109.3301944
246;61.71.01.1006;9;JL. M. SOHOR  GG. SEDERHANA;-0.04575, 109.3308056
247;61.71.01.1006;10;JL. M. SOHOR GG. SUDIMORO;-0.04611111, 109.33116667
248;61.71.01.1006;11;JL. M. SOHOR GG. MEKAR;-0.04725, 109.33175
249;61.71.01.1006;12;KOMP PURI INDAH;-0.04786111, 109.32952778
250;61.71.01.1006;13;JL. SURYA GG. SURYA GADING ;-0.04947222, 109.32994444
251;61.71.01.1006;14;JL. PURNAMA GG. PURNAMA IV;-0.04972222, 109.33411111
252;61.71.01.1006;15;JL.PURNAMA DI HALAMAN RUMAH MAKAN MIE ACEH;-0.049821, 109.335173
253;61.71.01.1006;16;JL. SURYA;-0.04780556, 109.33252778
254;61.71.01.1006;17;JL. SURYA DEPAN GG. LEMBAYUNG;-0.04808333, 109.33227778
255;61.71.01.1006;18;JL. SULAWESI DEPAN GG KELUARGA;-0.04219444, 109.32713889
256;61.71.01.1006;19;GG. H. SARAH JALUR 2;-0.04425, 109.32719444
257;61.71.01.1006;20;JL. TANIMBAR GG. KAKEK;-0.04455556, 109.32508333
258;61.71.01.1006;21;JL. KARYA BHAKTI GG. KARYA BHAKTI II NO. 26;-0.04672222, 109.32666667
259;61.71.01.1006;22;JL. KARYA BHAKTI GG. KARYA BHAKTI III;-0.04744444, 109.32677778
260;61.71.01.1006;23;JL. ALOR;-0.04516667, 109.32441667
261;61.71.01.1006;24;JL. NATUNA NO. 113;-0.04730556, 109.32355556
262;61.71.01.1006;25;JL. NATUNA;-0.04805556, 109.32241667
263;61.71.01.1006;26;JL. PULAU WE NO. 30;-0.04980556, 109.32175
264;61.71.01.1006;27;JL. WONOYOSO I;-0.04863889, 109.32561111
265;61.71.01.1006;28;JL. WONOYOSO GG. 5 NO. 2;-0.04991667, 109.32647222
266;61.71.01.1006;29;JL. PURNAMA PATRA;-0.05058333, 109.32738889
267;61.71.01.1006;30;JL. PURNAMA GG. SURYA GADING;-0.05072222, 109.33158333
268;61.71.01.1006;31;JL. WONOYOSO GG. 2;-0.04808333, 109.32502778
269;61.71.01.1006;32;JL. PURNAMA KOMP. PERUMAHAN PURNAMA SEMPURNA;-0.05152778, 109.32813889
270;61.71.01.1006;33;JL. KARNA SOSIAL GG. PURWOSARI 1;-0.05136111, 109.32172222
271;61.71.01.1006;34;JL. KARNA SOSIAL GG. PURWOSARI DALAM;-0.05238889, 109.32441667
272;61.71.01.1006;35;JL. KARNA SOSIAL GG. PURWOSARI DALAM;-0.05238889, 109.32441667
273;61.71.01.1006;36;GG. YUDISTARI;-0.0525, 109.32488889
274;61.71.01.1006;37;JL. PURNAMA GG. MENTARI;-0.05366667, 109.32591667
275;61.71.01.1006;38;JL. PURNAMA GG. KELUARGA;-0.05336111, 109.32861111
276;61.71.01.1006;39;JL. SULTAN SYAHRIR GG. WIDODO;-0.04930556, 109.31930556
277;61.71.01.1006;40;JL. SULTAN SYAHRIR GG. WIDODO;-0.04930556, 109.31930556
278;61.71.01.1006;41;JL. SELAYAR SEBELAH MESJID;-0.05011111, 109.32125
279;61.71.01.1006;42;JL. M. YAMIN GG. TELUK PAKEDAI;-0.05061111, 109.32008333
280;61.71.01.1006;43;JL. PROF. M. YAMIN GG. TELUK PAKEDAI NO. 2;-0.04991667, 109.31872222
281;61.71.01.1006;44;JL. PROF. M. YAMIN GG. KENCANA;-0.05027778, 109.31866667
282;61.71.01.1006;45;JL. PROF. M. YAMIN GG. URAY HAMID;-0.05102778, 109.31855556
